school_id,school_name,country,admin1,admin2,lat,lon,urban_rural,sector,enrollment,altitude_m
1,LICEO POLITECNICO ARICA,CL,AYP,ARICA,-18.4872,-70.295212,Urbano,,1086,
2,PARVULARIO LAS ESPIGUITAS,CL,AYP,ARICA,-18.46986198,-70.30275726,Urbano,,112,
3,ESC. PEDRO VICENTE GUTIERREZ TORRES,CL,AYP,ARICA,-18.50358009,-70.26082611,Rural,,497,
4,LICEO OCTAVIO PALMA PEREZ,CL,AYP,ARICA,-18.474239,-70.308273,Urbano,,1279,
5,JOVINA NARANJO FERNANDEZ,CL,AYP,ARICA,-18.4769,-70.313454,Urbano,,783,
7,L. POLI. BICENTENARIO DE EXCELENCIA ANTONIO VARAS DE LA BARRA,CL,AYP,ARICA,-18.476151,-70.288368,Urbano,,1110,
8,COLEGIO EDUARDO FREI MONTALVA,CL,AYP,ARICA,-18.482491,-70.317581,Urbano,,806,
9,ESCUELA REPUBLICA DE ISRAEL,CL,AYP,ARICA,-18.486691,-70.30452,Urbano,,1379,
10,ESCUELA REPUBLICA DE FRANCIA,CL,AYP,ARICA,-18.474369,-70.309036,Urbano,,137,
11,ESC. GRAL. PEDRO LAGOS MARCHANT,CL,AYP,ARICA,-18.491011,-70.311577,Urbano,,322,
12,ESCUELA GRAL JOSE MIGUEL CARRERA,CL,AYP,ARICA,-18.49193,-70.293968,Urbano,,301,
13,ESCUELA MANUEL RODRIGUEZ ERDOYZA,CL,AYP,ARICA,-18.48134,-70.285347,Urbano,,245,
14,ESCUELA ROMULO J. PENA MATURANA,CL,AYP,ARICA,-18.481239,-70.289757,Urbano,,359,
15,LICEO BICENTENARIO ARTISTICO DR. JUAN NOE CREVANI,CL,AYP,ARICA,-18.47138596,-70.300354,Urbano,,393,
16,ESCUELA REGIMIENTO RANCAGUA,CL,AYP,ARICA,-18.474831,-70.308777,Urbano,,273,
17,ESCUELA SUBTTE. LUIS CRUZ MARTINEZ,CL,AYP,ARICA,-18.46727,-70.290939,Urbano,,438,
18,ESC. COMTE. JUAN JOSE SAN MARTIN,CL,AYP,ARICA,-18.476681,-70.287788,Urbano,,321,
19,ESC. HUMBERTO VALENZUELA GARCIA,CL,AYP,ARICA,-18.474661,-70.291908,Urbano,,273,
20,ESCUELA TUCAPEL,CL,AYP,ARICA,-18.4797,-70.295502,Urbano,,428,
21,ESCUELA CARLOS GUIRAO MASSIF,CL,AYP,ARICA,-18.48379188,-70.30008008,Urbano,,0,
22,ESCUELA GABRIELA MISTRAL,CL,AYP,ARICA,-18.44829,-70.290649,Urbano,,886,
25,COLEGIO CENTENARIO DE ARICA,CL,AYP,ARICA,-18.440001,-70.293381,Urbano,,836,
26,ESCUELA REPUBLICA DE ARGENTINA,CL,AYP,ARICA,-18.48361,-70.300591,Urbano,,235,
27,ESCUELA ESMERALDA,CL,AYP,ARICA,-18.483049,-70.308029,Urbano,,288,
28,ESCUELA RICARDO SILVA ARRIAGADA,CL,AYP,ARICA,-18.485069,-70.294403,Urbano,,670,
29,ESCUELA AMERICA,CL,AYP,ARICA,-18.47761,-70.28302,Urbano,,535,
30,ESCUELA DR. RICARDO OLEA GUERRA,CL,AYP,ARICA,-18.48061752,-70.28401184,Urbano,,173,
31,ESCUELA DARIO SALAS DIAZ,CL,AYP,ARICA,-18.50066,-70.254593,Rural,,384,
32,LICEO AGRICOLA JOSE ABELARDO NUNEZ M.,CL,AYP,ARICA,-18.51926,-70.178741,Rural,,829,
33,ESCUELA CARLOS CONDELL DE LA HAZA,CL,AYP,ARICA,-18.41711,-70.225853,Rural,,198,
35,ESCUELA GRAL. MANUEL BAQUEDANO,CL,AYP,ARICA,-18.451719,-70.067574,Rural,,138,
36,ESCUELA IGNACIO CARRERA PINTO,CL,AYP,ARICA,-18.4956,-70.283524,Urbano,,331,
38,ESCUELA ESPAÃA,CL,AYP,ARICA,-18.558821,-70.100723,Rural,,492,
39,ESCUELA PAMPA ALGODONAL,CL,AYP,ARICA,-18.578211,-69.965172,Rural,,148,
41,ESCUELA VALLE DE CHACA,CL,AYP,ARICA,-18.820641,-70.140381,Rural,,88,
42,ESCUELA MOLINOS LLUTA,CL,AYP,ARICA,-18.38175,-69.944893,Rural,,24,
43,JARDIN INFANTIL CEPILLIN,CL,AYP,ARICA,-18.439636,-70.290726,Urbano,Privado,20,
44,JARDIN INFANTIL PEQUENILANDIA,CL,AYP,ARICA,,,Urbano,Privado,0,
45,COLEGIO ITALIANO SANTA ANA,CL,AYP,ARICA,-18.483061,-70.314301,Urbano,Privado,831,
46,JARDIN INFANTIL SAN ANDRES,CL,AYP,ARICA,,,Urbano,Privado,0,
47,J. I. KURUMI,CL,AYP,ARICA,-18.492444,-70.2944415,Urbano,Publico,0,
49,JARDIN INFANTIL PADRE LUIS GALLARDO,CL,AYP,ARICA,-18.475018,-70.29024,Urbano,Privado,22,
50,COLEGIO ADVENTISTA DE ARICA,CL,AYP,ARICA,-18.49332,-70.270767,Urbano,Privado,521,
51,ESCUELA PARTICULAR REPÃBLICA DEL ECUADOR,CL,AYP,ARICA,-18.4002612,-70.31498364,Urbano,Privado,0,
52,LICEO BICENTENARIO DOMINGO SANTA MARIA,CL,AYP,ARICA,-18.46834,-70.303596,Urbano,Privado,3923,
55,JARDIN INFANTIL MONTESSORI GARDEN,CL,AYP,ARICA,-18.48422,-70.30817,Urbano,Privado,0,
56,COLEGIO SAN MARCOS DE ARICA,CL,AYP,ARICA,-18.470751,-70.304817,Urbano,Privado,1001,
57,JARDIN INFANTIL ZORZALITO,CL,AYP,ARICA,,,Urbano,Privado,0,
58,JARDIN INFANTIL PETETE J.M. BORGOÃO,CL,AYP,ARICA,-18.486109,-70.302956,Urbano,Privado,0,
59,COLEGIO SAN JORGE,CL,AYP,ARICA,-18.50215,-70.24618,Urbano,Publico,540,
60,COLEGIO ALEMAN DE ARICA,CL,AYP,ARICA,-18.49221,-70.280296,Urbano,Privado,1122,
