school_id,school_name,country,admin1,admin2,lat,lon,urban_rural,sector,enrollment,altitude_m
368001000290,FUND COL NUEVA GENERACION JUVENIL,CO,SANTANDER,BUCARAMANGA,,,Urbano,Privado,,
368001006298,COL MUNDO CONSTRUCTIVO,CO,SANTANDER,BUCARAMANGA,,,Urbano,Privado,,
368001000907,COL ATENAS,CO,SANTANDER,BUCARAMANGA,7.12300238,-73.11811894,Urbano,Privado,,
368077000264,COLEGIO EVANGÉLICO INTERAMERICANO,CO,SANTANDER,BARBOSA,,,Urbano,Privado,,
354874000619,COL NUESTRA SEÑORA DEL ROSARIO,CO,NORTE DE SANTANDER,VILLA DEL ROSARIO,7.831605,-72.473991,Urbano,Privado,,
354810000429,LIC MIXTO GUZMAN BERTTY,CO,NORTE DE SANTANDER,TIBÚ,,,Urbano,Privado,,
354498002346,JARD INF PUCHERITOS,CO,NORTE DE SANTANDER,OCAÑA,8.40927203,-73.41064613,Urbano,Privado,,
354518001309,JARD INF ESTRELLITAS CREATIVAS,CO,NORTE DE SANTANDER,PAMPLONA,7.376543,-72.646469,Urbano,Privado,,
354498001749,UNID PREESC Y PRIA PECOS Y PECAS,CO,NORTE DE SANTANDER,OCAÑA,8.24199825,-73.35687033,Urbano,Privado,,
354874000767,COL JOSE CELESTINO MUTIS,CO,NORTE DE SANTANDER,LOS PATIOS,7.83375198,-72.50019771,Urbano,Privado,,
354874000830,COL MIXTO SANTISIMA TRINIDAD,CO,NORTE DE SANTANDER,VILLA DEL ROSARIO,7.83239791,-72.47058045,Urbano,Privado,,
354518001091,LIC INF LA SAGRADA FAMILIA,CO,NORTE DE SANTANDER,PAMPLONA,7.36911901,-72.65222319,Urbano,Privado,,
354261000594,LIC ALFONSO LOPEZ,CO,NORTE DE SANTANDER,EL ZULIA,7.93796306,-72.6049423,Urbano,Privado,,
354498001897,JARD INF JEAN PIAGET,CO,NORTE DE SANTANDER,OCAÑA,8.26093633,-73.35651605,Urbano,Privado,,
354405000021,INST MIGUEL DE CERVANTES SAAVEDRA,CO,NORTE DE SANTANDER,LOS PATIOS,7.812753,-72.513581,Urbano,Privado,,
254405000409,COL DE BTO CIAL ISABEL LA CATOLICA,CO,NORTE DE SANTANDER,LOS PATIOS,7.83825454,-72.5014988,Urbano,Privado,,
354001008800,JARD INF LOS HERMANOS GRIMM,CO,NORTE DE SANTANDER,VILLA DEL ROSARIO,7.81800024,-72.52510377,Urbano,Privado,,
354405000241,COL SAN TARSICIO LOS PATIOS,CO,NORTE DE SANTANDER,LOS PATIOS,7.83375198,-72.50019771,Urbano,Privado,,
354261000705,LIC CAMILO TORRES,CO,NORTE DE SANTANDER,EL ZULIA,7.93344877,-72.60121168,Urbano,Privado,,
254405000395,COL MI PRIMERA ESTACION,CO,NORTE DE SANTANDER,LOS PATIOS,,,Urbano,Privado,,
354405000632,COL BAS INTEG SIGLO XXI,CO,NORTE DE SANTANDER,LOS PATIOS,7.805237,-72.520498,Urbano,Privado,,
354405000861,INST PEDAG MUNDO DEL JUGUETE,CO,NORTE DE SANTANDER,LOS PATIOS,7.81333043,-72.51709832,Urbano,Privado,,
254206001234,COL SIGLO XXI,CO,NORTE DE SANTANDER,CONVENCIÓN,8.493822,-73.299635,Rural,Privado,,
354172000432,JARD INF RUGRATS,CO,NORTE DE SANTANDER,CHINÁCOTA,7.6620673,-72.59706258,Urbano,Privado,,
354405000854,INST NOCT JOSE CELESTINO MUTIS,CO,NORTE DE SANTANDER,LOS PATIOS,7.83375198,-72.50019771,Urbano,Privado,,
368679000947,CORPORACION EDUCATIVA FERRINI,CO,SANTANDER,SAN GIL,,,Urbano,Privado,,
308758077700,CENTRO EDUCATIVO QUIERO APRENDER DE VI¥A DEL REY,CO,ATLÁNTICO,SOLEDAD,,,Urbano,Privado,,
368547001629,GIMNASIO CULTURAL CATOLICO MARIA REINA,CO,SANTANDER,PIEDECUESTA,,,Urbano,Privado,,
368079000318,INSTITUTO PEDAGOGICO GEO VON LENGUERKE,CO,SANTANDER,BARICHARA,6.63650545,-73.22114147,Urbano,Privado,,
308758077198,LICEO MIXTO JORGE ISAACS,CO,ATLÁNTICO,SOLEDAD,,,Urbano,Privado,,
315759002084,EL TALLER DE WINNIE POO,CO,BOYACÁ,SOGAMOSO,5.72699891,-72.91989567,Urbano,Privado,,
325754002341,JARDIN INFANTIL MIS PEQUENOS GENIOS,CO,CUNDINAMARCA,SOACHA,4.58027778,-74.2025,Urbano,Privado,,
376834003597,CENT DOC LAS DELICIAS,CO,VALLE DEL CAUCA,TULUÁ,,,Urbano,Privado,,
468081002934,JARDIN INFANTIL HEIDI,CO,SANTANDER,BARRANCABERMEJA,6.95055427,-73.76608486,Urbano,Privado,,
