school_id,school_name,country,admin1,admin2,lat,lon,urban_rural,sector,enrollment,altitude_m
0257048-0,001 NIÑO JESUS DE PRAGA,PE,CHACHAPOYAS,CHACHAPOYAS,-6.231759999999952,-77.87242999999995,,Publico,,2330
0257055-0,002 RAQUEL ROBLES DE ROMAN,PE,CHACHAPOYAS,CHACHAPOYAS,-6.231589999999926,-77.87001999999995,,Publico,,2348
0257097-0,006 MARIA PALMIR SANCHEZ DE REATEGÜI,PE,CHACHAPOYAS,CHACHAPOYAS,-6.226999999999975,-77.87551999999994,,Publico,,2351
0568063-0,019 CONSUELO DE JESUS SALAZAR ROJAS,PE,CHACHAPOYAS,EL MOLINO,-6.247699999999952,-77.88769999999994,,Publico,,2120
0568097-0,020,PE,CHACHAPOYAS,CHACHAPOYAS,-6.229349999999954,-77.86463999999995,,Publico,,2350
1735463-0,MONSEÑOR OCTAVIO ORTIZ ARRIETA,PE,CHACHAPOYAS,CHACHAPOYAS,-6.227309999999932,-77.87242999999995,,Publico,,2330
0478974-0,MONSEÑOR OCTAVIO ORTIZ ARRIETA,PE,CHACHAPOYAS,CHACHAPOYAS,-6.227309999999932,-77.87242999999995,,Publico,,2330
0766691-0,050,PE,CHACHAPOYAS,HIGOSURCO,-6.230599999999981,-77.85186999999996,,Publico,,2347
0766725-0,053,PE,CHACHAPOYAS,SEÑOR DE LOS MILAGROS,-6.220549999999946,-77.87349999999998,,Publico,,2380
0910174-0,055,PE,CHACHAPOYAS,SANTO TORIBIO DE MOGROVEJO,-6.2275999999999385,-77.87929999999994,,Publico,,2428
0910208-0,056 DIVINO NIÑO JESUS,PE,CHACHAPOYAS,PEDRO CASTRO ALVA,-6.218099999999936,-77.86649999999997,,Publico,,2387
1302017-0,18002 MARIA AUXILIADORA,PE,CHACHAPOYAS,CHACHAPOYAS,-6.232189999999946,-77.87232999999998,,Publico,,2322
0257337-0,18002 MARIA AUXILIADORA,PE,CHACHAPOYAS,CHACHAPOYAS,-6.232189999999946,-77.87232999999998,,Publico,,2322
1698687-0,PRITE DAVID,PE,CHACHAPOYAS,CHACHAPOYAS,-6.226469999999949,-77.87516999999997,,Publico,,2351
1302140-0,CEBA - FELIX CASTRO CHAVEZ,PE,CHACHAPOYAS,CHACHAPOYAS,-6.226469999999949,-77.87516999999997,,B4,,2351
0257345-0,18003 SANTA ROSA,PE,CHACHAPOYAS,CHACHAPOYAS,-6.226469999999949,-77.87516999999997,,Publico,,2351
1704865-0,CREBE AMAZONAS,PE,CHACHAPOYAS,HIGOSURCO,-6.230199999999968,-77.85559999999998,,Publico,,2349
0257386-0,18007 JOSE ABELARDO QUIÑONEZ GONZALES,PE,CHACHAPOYAS,EL MOLINO,-6.246799999999951,-77.88809999999995,,Publico,,2123
0257394-0,18008,PE,CHACHAPOYAS,SAN ISIDRO,-6.2748999999999455,-77.93929999999995,,Publico,,1720
0257402-0,18009,PE,CHACHAPOYAS,TAQUIA,-6.254199999999969,-77.83299999999997,,Publico,,2583
1399211-0,18288 ISABEL LINCH DE RUBIO,PE,CHACHAPOYAS,CHACHAPOYAS,-6.228869369999927,-77.87167110999997,,Publico,,2338
0255919-0,18288 ISABEL LINCH DE RUBIO,PE,CHACHAPOYAS,CHACHAPOYAS,-6.228869369999927,-77.87167110999997,,Publico,,2338
0495622-0,18291,PE,CHACHAPOYAS,OPELEL,-6.251421999999934,-77.81078799999995,,Publico,,2568
0678557-0,18343,PE,CHACHAPOYAS,MARIPATA,-6.252399999999966,-77.82069999999999,,Publico,,2543
0678581-0,SEMINARIO JESUS MARIA,PE,CHACHAPOYAS,CHACHAPOYAS,-6.22840999999994,-77.87425999999994,,A4,,2335
0257352-0,SEMINARIO JESUS MARIA,PE,CHACHAPOYAS,CHACHAPOYAS,-6.22840999999994,-77.87425999999994,,A4,,2335
0559138-0,SAN JUAN DE LA LIBERTAD,PE,CHACHAPOYAS,CHACHAPOYAS,-6.229169999999954,-77.86564999999996,,Publico,,2344
0262261-0,CEBA - SAN JUAN DE LA LIBERTAD,PE,CHACHAPOYAS,CHACHAPOYAS,-6.229169999999954,-77.86564999999996,,Publico,,2344
0262188-0,SAN JUAN DE LA LIBERTAD,PE,CHACHAPOYAS,CHACHAPOYAS,-6.229169999999954,-77.86564999999996,,Publico,,2344
0591354-0,CEBA - SAN JUAN DE LA LIBERTAD,PE,CHACHAPOYAS,CHACHAPOYAS,-6.229169999999954,-77.86564999999996,,Publico,,2344
1302009-0,VIRGEN ASUNTA,PE,CHACHAPOYAS,CHACHAPOYAS,-6.2302799999999365,-77.86993999999999,,A4,,2352
0262196-0,VIRGEN ASUNTA,PE,CHACHAPOYAS,CHACHAPOYAS,-6.2302799999999365,-77.86993999999999,,A4,,2352
1391937-0,SANTIAGO ANTUNEZ DE MAYOLO,PE,CHACHAPOYAS,CHACHAPOYAS,-6.229259999999954,-77.86430999999999,,Publico,,2350
0678615-0,SANTIAGO ANTUNEZ DE MAYOLO,PE,CHACHAPOYAS,CHACHAPOYAS,-6.229259999999954,-77.86430999999999,,Publico,,2350
1669803-0,COAR AMAZONAS,PE,CHACHAPOYAS,CHACHAPOYAS,-6.229119999999966,-77.86366999999996,,Publico,,2348
0568154-0,PERU JAPON,PE,CHACHAPOYAS,CHACHAPOYAS,-6.229119999999966,-77.86366999999996,,Publico,,2348
0257329-0,18001 MIGUEL RUBIO,PE,CHACHAPOYAS,CHACHAPOYAS,-6.232029999999952,-77.86992999999995,,Publico,,2347
0643668-0,MIGUEL RUBIO,PE,CHACHAPOYAS,CHACHAPOYAS,-6.232029999999952,-77.86992999999995,,Publico,,2347
0667576-0,025 BRYAN ANTONIO LOPEZ CASTRO,PE,CHACHAPOYAS,CHACHAPOYAS,-6.225839999999948,-77.86801999999994,,Publico,,2314
0255844-0,18255 LEONCIO PRADO,PE,CHACHAPOYAS,EL PRADO,-6.234229999999968,-77.86493999999993,,Publico,,2389
